"state","year","season","avg_temp"
"AK",2011,"Fall",1.8279366700715
"AK",2011,"Spring",2.125
"AK",2011,"Summer",11.8974474474474
"AK",2011,"Winter",-5.34129464285714
"AK",2012,"Fall",1.17205240174672
"AK",2012,"Spring",1.49276180698152
"AK",2012,"Summer",11.7573258196721
"AK",2012,"Winter",-8.34305993690852
"AK",2013,"Fall",3.54597772277228
"AK",2013,"Spring",0.749394939493949
"AK",2013,"Summer",13.6782479141836
"AK",2013,"Winter",-4.23873720136519
"AK",2014,"Fall",3.66352941176471
"AK",2014,"Spring",3.30272067714631
"AK",2014,"Summer",8.94488428745432
"AK",2014,"Winter",-2.21348246674728
"AK",2015,"Fall",3.40698393077874
"AK",2015,"Spring",3.83034238488784
"AK",2015,"Summer",13.2588661037394
"AK",2015,"Winter",-4.24111245465538
"AK",2016,"Fall",3.48533791523482
"AK",2016,"Spring",5.38578651685393
"AK",2016,"Summer",13.9719483568075
"AK",2016,"Winter",-2.76165714285714
"AK",2017,"Fall",3.05292766934558
"AK",2017,"Spring",1.05357142857143
"AK",2017,"Summer",12.6470070422535
"AK",2017,"Winter",-5.59806060606061
"AK",2018,"Fall",5.7580900243309
"AK",2018,"Spring",2.58796542553191
"AK",2018,"Summer",13.037012987013
"AK",2018,"Winter",-5.43225138121547
"AK",2019,"Fall",4.72822665267576
"AK",2019,"Spring",4.67037444933921
"AK",2019,"Summer",14.6679934569248
"AK",2019,"Winter",-5.12671624713959
"AK",2020,"Fall",2.57380668257757
"AK",2020,"Spring",2.09761663286004
"AK",2020,"Summer",12.8672338090011
"AK",2020,"Winter",-9.24546460176991
"AK",2021,"Fall",0.514176470588235
"AK",2021,"Spring",1.3367816091954
"AK",2021,"Summer",12.4514428412875
"AK",2021,"Winter",-5.83832020997375
"AL",2011,"Fall",17.0060787671233
"AL",2011,"Spring",17.9262048192771
"AL",2011,"Summer",27.2245827010622
"AL",2011,"Winter",7.25161030595813
"AL",2012,"Fall",15.8870936902486
"AL",2012,"Spring",19.1002762430939
"AL",2012,"Summer",25.601026119403
"AL",2012,"Winter",9.49644194756554
"AL",2013,"Fall",17.8927495291902
"AL",2013,"Spring",15.2880487804878
"AL",2013,"Summer",25.2185624012638
"AL",2013,"Winter",8.61690909090909
"AL",2014,"Fall",17.5114779874214
"AL",2014,"Spring",15.2012845849802
"AL",2014,"Summer",25.765306122449
"AL",2014,"Winter",6.32268623024831
"AL",2015,"Fall",18.9623728813559
"AL",2015,"Spring",18.4796012269939
"AL",2015,"Summer",26.5297872340426
"AL",2015,"Winter",7.93573825503356
"AL",2016,"Fall",20.1525835866261
"AL",2016,"Spring",17.469918699187
"AL",2016,"Summer",26.9138596491228
"AL",2016,"Winter",7.95682656826568
"AL",2017,"Fall",17.0125968992248
"AL",2017,"Spring",17.2656504065041
"AL",2017,"Summer",24.9947368421053
"AL",2017,"Winter",9.79948805460751
"AL",2018,"Fall",18.7298148148148
"AL",2018,"Spring",16.5597719869707
"AL",2018,"Summer",26.3083596214511
"AL",2018,"Winter",8.01274834437086
"AL",2019,"Fall",18.5889655172414
"AL",2019,"Spring",17.3040716612378
"AL",2019,"Summer",26.2720447284345
"AL",2019,"Winter",9.40925266903915
"AL",2020,"Fall",18.0660714285714
"AL",2020,"Spring",17.1740445859873
"AL",2020,"Summer",25.6252707581227
"AL",2020,"Winter",8.15839160839161
"AL",2021,"Fall",17.4883275261324
"AL",2021,"Spring",16.6072881355932
"AL",2021,"Summer",25.5041366906475
"AL",2021,"Winter",8.46102362204724
"AR",2011,"Fall",15.9171568627451
"AR",2011,"Spring",15.6157088122605
"AR",2011,"Summer",28.03886756238
"AR",2011,"Winter",4.7721706864564
"AR",2012,"Fall",16.0649395509499
"AR",2012,"Spring",19.019120458891
"AR",2012,"Summer",27.1333652007648
"AR",2012,"Winter",7.26902071563089
"AR",2013,"Fall",15.9896321070234
"AR",2013,"Spring",13.9013245033113
"AR",2013,"Summer",25.3164991624791
"AR",2013,"Winter",4.49022346368715
"AR",2014,"Fall",15.8814782608696
"AR",2014,"Spring",14.1683277027027
"AR",2014,"Summer",25.1332465277778
"AR",2014,"Winter",3.51164154103853
"AR",2015,"Fall",17.4669811320755
"AR",2015,"Spring",15.3299687010955
"AR",2015,"Summer",26.146835443038
"AR",2015,"Winter",4.78859649122807
"AR",2016,"Fall",18.3531762295082
"AR",2016,"Spring",16.1164576802508
"AR",2016,"Summer",26.6691437802908
"AR",2016,"Winter",5.11378151260504
"AR",2017,"Fall",16.995110701107
"AR",2017,"Spring",16.2865384615385
"AR",2017,"Summer",25.0419517102616
"AR",2017,"Winter",7.24546351084813
"AR",2018,"Fall",15.9282923299566
"AR",2018,"Spring",16.1091887417219
"AR",2018,"Summer",26.7343575418994
"AR",2018,"Winter",4.56982905982906
"AR",2019,"Fall",15.219262295082
"AR",2019,"Spring",14.3326363636364
"AR",2019,"Summer",25.18984375
"AR",2019,"Winter",5.79580536912752
"AR",2020,"Fall",15.5756007393715
"AR",2020,"Spring",14.5975155279503
"AR",2020,"Summer",25.3608108108108
"AR",2020,"Winter",5.30315398886827
"AR",2021,"Fall",16.4608286252354
"AR",2021,"Spring",14.2246391752577
"AR",2021,"Summer",25.5804703476483
"AR",2021,"Winter",4.97747663551402
"AZ",2011,"Fall",15.8798780487805
"AZ",2011,"Spring",13.7877574370709
"AZ",2011,"Summer",25.4815734989648
"AZ",2011,"Winter",4.45692640692641
"AZ",2012,"Fall",15.5035175879397
"AZ",2012,"Spring",14.0778497409326
"AZ",2012,"Summer",25.0357655502392
"AZ",2012,"Winter",6.12220982142857
"AZ",2013,"Fall",13.9801120448179
"AZ",2013,"Spring",13.6153623188406
"AZ",2013,"Summer",23.7747191011236
"AZ",2013,"Winter",2.69054441260745
"AZ",2014,"Fall",16.0838662790698
"AZ",2014,"Spring",13.0614492753623
"AZ",2014,"Summer",23.2568767908309
"AZ",2014,"Winter",6.6269340974212
"AZ",2015,"Fall",14.7268156424581
"AZ",2015,"Spring",12.6885154061625
"AZ",2015,"Summer",23.4270604395604
"AZ",2015,"Winter",6.02968299711816
"AZ",2016,"Fall",16.6223938223938
"AZ",2016,"Spring",12.9629166666667
"AZ",2016,"Summer",24.8867132867133
"AZ",2016,"Winter",6.34487577639752
"AZ",2017,"Fall",17.7649606299213
"AZ",2017,"Spring",15.1491902834008
"AZ",2017,"Summer",25.1698380566802
"AZ",2017,"Winter",7.48982683982684
"AZ",2018,"Fall",15.8296992481203
"AZ",2018,"Spring",15.1626394052045
"AZ",2018,"Summer",24.8115094339623
"AZ",2018,"Winter",7.33045454545455
"AZ",2019,"Fall",15.6554511278195
"AZ",2019,"Spring",12.7528195488722
"AZ",2019,"Summer",24.7516728624535
"AZ",2019,"Winter",5.3734496124031
"AZ",2020,"Fall",18.9206043956044
"AZ",2020,"Spring",14.69375
"AZ",2020,"Summer",27.1472826086957
"AZ",2020,"Winter",6.84516806722689
"AZ",2021,"Fall",17.1542986425339
"AZ",2021,"Spring",15.0951086956522
"AZ",2021,"Summer",26.7367021276596
"AZ",2021,"Winter",7.11832460732984
"CA",2011,"Fall",13.3027027027027
"CA",2011,"Spring",8.82700501253133
"CA",2011,"Summer",20.1147601476015
"CA",2011,"Winter",3.83932448733414
"CA",2012,"Fall",15.3333739342266
"CA",2012,"Spring",10.6487830687831
"CA",2012,"Summer",21.4932603686636
"CA",2012,"Winter",5.2896412037037
"CA",2013,"Fall",13.8234375
"CA",2013,"Spring",12.711231884058
"CA",2013,"Summer",22.2671408250356
"CA",2013,"Winter",4.64146174863388
"CA",2014,"Fall",16.1086255259467
"CA",2014,"Spring",14.0063391442155
"CA",2014,"Summer",22.6435028248588
"CA",2014,"Winter",7.67782369146006
"CA",2015,"Fall",15.1293053545586
"CA",2015,"Spring",12.9851063829787
"CA",2015,"Summer",22.5666431593794
"CA",2015,"Winter",7.43521428571429
"CA",2016,"Fall",14.0997395833333
"CA",2016,"Spring",12.4317513368984
"CA",2016,"Summer",22.1990967741935
"CA",2016,"Winter",6.59505571030641
"CA",2017,"Fall",14.4391108247423
"CA",2017,"Spring",11.6777707808564
"CA",2017,"Summer",22.6599476439791
"CA",2017,"Winter",5.68798920377868
"CA",2018,"Fall",14.4273698264352
"CA",2018,"Spring",11.4131306597671
"CA",2018,"Summer",22.3952631578947
"CA",2018,"Winter",6.23062068965517
"CA",2019,"Fall",14.4225806451613
"CA",2019,"Spring",11.1508760107817
"CA",2019,"Summer",21.5133852691218
"CA",2019,"Winter",5.399560761347
"CA",2020,"Fall",16.1223420647149
"CA",2020,"Spring",12.2300149700599
"CA",2020,"Summer",22.6309037900875
"CA",2020,"Winter",6.86210287443268
"CA",2021,"Fall",15.6351735015773
"CA",2021,"Spring",12.6815586419753
"CA",2021,"Summer",24.34057187017
"CA",2021,"Winter",6.40865051903114
"CO",2011,"Fall",7.11737918215613
"CO",2011,"Spring",5.45313092979127
"CO",2011,"Summer",19.2057086614173
"CO",2011,"Winter",-5.00823970037453
"CO",2012,"Fall",8.41616541353383
"CO",2012,"Spring",7.89556377079482
"CO",2012,"Summer",19.3770018621974
"CO",2012,"Winter",-3.53119180633147
"CO",2013,"Fall",7.45980952380952
"CO",2013,"Spring",5.10839483394834
"CO",2013,"Summer",18.6616322701689
"CO",2013,"Winter",-5.68554104477612
"CO",2014,"Fall",8.09465346534653
"CO",2014,"Spring",5.61001838235294
"CO",2014,"Summer",17.8101377952756
"CO",2014,"Winter",-3.1052427184466
"CO",2015,"Fall",9.73666666666667
"CO",2015,"Spring",6.68011472275335
"CO",2015,"Summer",19.0396061269147
"CO",2015,"Winter",-2.25053418803419
"CO",2016,"Fall",9.94017857142857
"CO",2016,"Spring",6.90227272727273
"CO",2016,"Summer",19.6842696629213
"CO",2016,"Winter",-2.57609223300971
